standard,metric,value,units,description
ISO4138,ay_min,-17.83075217175445,m/s^2,Minimum signed lateral acceleration
ISO4138,ay_max,17.78868687917601,m/s^2,Maximum signed lateral acceleration
ISO4138,understeer_gradient_rad_per_mps2,0.006915296752128178,rad/(m/s^2),Linear-region understeer gradient
ISO4138,understeer_gradient_deg_per_g,3.8868932791722455,deg/g,Linear-region understeer gradient
ISO4138,roll_gradient_deg_per_g,1.2278882764351193,deg/g,Linear-region roll gradient
ISO4138,max_curvature_error_pct,0.20099435567012133,%,Maximum absolute curvature tracking error
ISO4138,mean_curvature_error_pct,0.052291340131028576,%,Mean absolute curvature tracking error
ISO4138,max_radius_error_pct,0.20139915660726612,%,Maximum absolute radius tracking error
ISO4138,mean_radius_error_pct,0.05233784939944591,%,Mean absolute radius tracking error
ISO4138,handwheel_torque_min,-16.50462267909586,N*m,Minimum handwheel torque over ISO4138 sweep
ISO4138,handwheel_torque_max,15.74997290615906,N*m,Maximum handwheel torque over ISO4138 sweep
