standard,group,metric,value,units,description
ISO7401,general,n_cases,14,count,Number of simulation cases included in ISO7401 run
ISO7401,step,ay_peak,5.689185650518088,m/s^2,Peak absolute lateral acceleration during representative step steer response
ISO7401,step,ay_ss,5.313616820935586,m/s^2,Steady-state lateral acceleration from representative step steer response
ISO7401,step,ay_gain_ss,60.889563557866204,(m/s^2)/rad,Steady-state lateral acceleration gain from handwheel angle
ISO7401,step,overshoot_pct,7.068045029193034,%,Lateral acceleration overshoot in representative step steer response
ISO7401,step,rise_time_s,0.12045240822815506,s,Lateral acceleration 10-90 percent rise time
ISO7401,step,settling_time_s,1.259344768470636,s,Lateral acceleration settling time using 5 percent steady-state band
ISO7401,step,yaw_peak,0.2963767235766049,rad/s,Peak absolute yaw velocity during representative step steer response
ISO7401,step,yaw_ss,0.2663855205431489,rad/s,Steady-state yaw velocity from representative step steer response
ISO7401,step,yaw_overshoot_pct,11.258571026047202,%,Yaw velocity overshoot in representative step steer response
ISO7401,frequency,ay_gain_dc,61.4237908518473,(m/s^2)/rad,Low-frequency lateral acceleration gain from handwheel angle
ISO7401,frequency,yaw_gain_dc,3.08144138691429,(rad/s)/rad,Low-frequency yaw velocity gain from handwheel angle
ISO7401,frequency,ay_gain_peak,61.4237908518473,(m/s^2)/rad,Peak lateral acceleration frequency response gain
ISO7401,frequency,ay_gain_peak_freq,0.5,Hz,Frequency at peak lateral acceleration gain
ISO7401,frequency,yaw_gain_peak,3.2050890886857077,(rad/s)/rad,Peak yaw velocity frequency response gain
ISO7401,frequency,yaw_gain_peak_freq,2.0,Hz,Frequency at peak yaw velocity gain
ISO7401,frequency,bandwidth_hz,2.0,Hz,Approximate -3 dB lateral acceleration bandwidth
ISO7401,frequency,ay_phase_1hz,-18.41649701428537,deg,Lateral acceleration phase relative to handwheel angle near 1 Hz
ISO7401,frequency,yaw_phase_1hz,-11.946683748594978,deg,Yaw velocity phase relative to handwheel angle near 1 Hz
ISO7401,frequency,ay_lag_1hz,0.05115693615079269,s,Equivalent lateral acceleration time lag near 1 Hz
ISO7401,frequency,yaw_lag_1hz,0.03318523263498605,s,Equivalent yaw velocity time lag near 1 Hz
ISO7401,frequency,lag_steer_to_ay,0.05115693615079269,s,Handwheel angle to lateral acceleration lag
ISO7401,frequency,lag_steer_to_yaw,0.03318523263498605,s,Handwheel angle to yaw velocity lag
ISO7401,frequency,yaw_to_ay_lag,0.01797170351580664,s,Additional lateral acceleration lag relative to yaw velocity
ISO7401,frequency,ay_phase_45_freq,2.0,Hz,Frequency closest to -45 degree lateral acceleration phase
ISO7401,frequency,yaw_phase_45_freq,2.0,Hz,Frequency closest to -45 degree yaw velocity phase
ISO7401,frequency,ay_gain_slope,-1.0247142370719724,dB/dec,Lateral acceleration gain slope versus log frequency
ISO7401,frequency,yaw_gain_slope,0.5476904433174763,dB/dec,Yaw velocity gain slope versus log frequency
ISO7401,frequency,ay_phase_slope,53.16102633935341,deg/dec,Lateral acceleration phase slope versus log frequency
ISO7401,frequency,yaw_phase_slope,31.464306339725606,deg/dec,Yaw velocity phase slope versus log frequency
ISO7401,frequency,yaw_to_ay_ratio,0.050900111823247066,(rad/s)/(m/s^2),Yaw velocity to lateral acceleration gain ratio near 1 Hz
ISO7401,frequency,gain_variation_pct,7.738182994073439,%,Lateral acceleration gain variation over low-frequency sweep
ISO7401,quality,ay_fit_error,0.010863068761470982,normalized error,Mean normalized sine-fit error for lateral acceleration frequency response
ISO7401,quality,yaw_fit_error,0.004271177887720903,normalized error,Mean normalized sine-fit error for yaw velocity frequency response
