standard,metric,value,units,description
RampSteerEval,n_cases,4,count,Total RampSteerEval cases requested
RampSteerEval,n_successful_cases,4,count,Number of successful RampSteerEval cases used in the summary
RampSteerEval,n_failed_cases,0,count,Number of failed RampSteerEval cases skipped by the summary
RampSteerEval,standard_sweep_max_ay_mps2,18.0,m/s^2,Nominal positive lateral-acceleration target used for the RampSteerEval sweep
RampSteerEval,metric_target_velocity_mps,15.0,m/s,Target velocity used to select the exported metric table
RampSteerEval,metric_source_velocity_mps,15.0,m/s,Velocity nearest the target used for the exported metric table
RampSteerEval,ay_min,1.00971637005359,m/s^2,Minimum measured lateral acceleration
RampSteerEval,ay_max,16.36563286122472,m/s^2,Maximum measured lateral acceleration
RampSteerEval,sideslip_gradient_rad_per_mps2,0.0008416357428696955,rad/(m/s^2),Linear ramp-response sideslip gradient versus measured Ay
RampSteerEval,sideslip_gradient_deg_per_g,0.4730597152558355,deg/g,Linear ramp-response sideslip gradient versus measured Ay
RampSteerEval,limit_ay_mps2,16.36563286122472,m/s^2,Largest absolute measured lateral acceleration reached by the ramp
RampSteerEval,limit_sideslip_gradient_rad_per_mps2,-0.0035497874545811405,rad/(m/s^2),Endpoint local ramp-response sideslip gradient at the measured Ay limit
RampSteerEval,limit_sideslip_gradient_deg_per_g,-1.995235417114265,deg/g,Endpoint local ramp-response sideslip gradient at the measured Ay limit
RampSteerEval,limit_understeer_gradient_rad_per_mps2,0.018726657558199418,rad/(m/s^2),Endpoint local steer-excess derivative at the measured Ay limit
RampSteerEval,limit_understeer_gradient_deg_per_g,10.525726084267438,deg/g,Endpoint local steer-excess derivative at the measured Ay limit
RampSteerEval,understeer_gradient_rad_per_mps2,0.0006125537754122909,rad/(m/s^2),Linear steer-excess derivative versus measured Ay
RampSteerEval,understeer_gradient_deg_per_g,0.34429920191767455,deg/g,Linear steer-excess derivative versus measured Ay
RampSteerEval,handwheel_angle_gradient_rad_per_mps2,0.03082089558124789,rad/(m/s^2),Linear raw handwheel angle gradient versus measured Ay
RampSteerEval,handwheel_angle_gradient_deg_per_g,17.323556195322258,deg/g,Linear raw handwheel angle gradient versus measured Ay
RampSteerEval,limit_handwheel_gradient_rad_per_mps2,0.031210459856192148,rad/(m/s^2),Endpoint local raw handwheel angle gradient at the measured Ay limit
RampSteerEval,limit_handwheel_gradient_deg_per_g,17.54251928777674,deg/g,Endpoint local raw handwheel angle gradient at the measured Ay limit
RampSteerEval,roll_gradient_deg_per_g,0.889331542322913,deg/g,Linear ramp-response roll gradient versus measured Ay
RampSteerEval,limit_roll_gradient_rad_per_mps2,0.0016973360484089568,rad/(m/s^2),Endpoint local ramp-response roll gradient at the measured Ay limit
RampSteerEval,limit_roll_gradient_deg_per_g,0.9540247245394374,deg/g,Endpoint local ramp-response roll gradient at the measured Ay limit
RampSteerEval,peak_handwheel_torque_Nm,-20.88830425419885,N*m,Signed handwheel torque at maximum absolute handwheel torque
RampSteerEval,peak_handwheel_torque_ay_mps2,16.23933670402688,m/s^2,Measured lateral acceleration at peak absolute handwheel torque
RampSteerEval,roadwheel_fit_nrmse,0.004014115940947397,fraction,Normalized fit residual for roadwheel angle versus measured Ay
RampSteerEval,handwheel_fit_nrmse,0.0040054835868658985,fraction,Normalized fit residual for handwheel angle versus measured Ay
RampSteerEval,steer_excess_fit_nrmse,0.09492063195789437,fraction,Normalized fit residual for steer excess versus measured Ay
RampSteerEval,roll_fit_nrmse,0.0005567959781060669,fraction,Normalized fit residual for roll versus measured Ay
RampSteerEval,sideslip_fit_nrmse,0.019711411168246873,fraction,Normalized fit residual for sideslip versus measured Ay
RampSteerEval,sideslip_gradient_velocity_slope_deg_per_g_per_mps,-1.2113951979595494e-17,deg/g per m/s,Linear fit slope of ramp-response sideslip gradient versus velocity
RampSteerEval,limit_sideslip_gradient_velocity_slope_deg_per_g_per_mps,-5.867448304432541e-17,deg/g per m/s,Linear fit slope of endpoint sideslip gradient versus velocity
RampSteerEval,limit_understeer_gradient_velocity_slope_deg_per_g_per_mps,-1.0331792299816238e-16,deg/g per m/s,Linear fit slope of endpoint steer-excess gradient versus velocity
RampSteerEval,handwheel_angle_gradient_velocity_slope_deg_per_g_per_mps,9.388643404283003e-17,deg/g per m/s,Linear fit slope of raw handwheel angle gradient versus velocity
RampSteerEval,limit_handwheel_gradient_velocity_slope_deg_per_g_per_mps,3.3130703843872367e-16,deg/g per m/s,Linear fit slope of endpoint handwheel angle gradient versus velocity
RampSteerEval,limit_roll_gradient_velocity_slope_deg_per_g_per_mps,-9.676442592667784e-18,deg/g per m/s,Linear fit slope of endpoint roll gradient versus velocity
RampSteerEval,understeer_gradient_velocity_slope_deg_per_g_per_mps,6.335642148669581e-18,deg/g per m/s,Linear fit slope of steer-excess gradient versus velocity
RampSteerEval,roll_gradient_velocity_slope_deg_per_g_per_mps,1.9674883863014435e-17,deg/g per m/s,Linear fit slope of ramp-response roll gradient versus velocity
